Rank 2023,Name,CKPG,GICS Sector,GICS Industry,Country,HQ,USD Purchasing Power Parity Revenue,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Waste Productivity,Waste Productivity Score,VOC Productivity,VOC Productivity Score,NOx Productivity,NOx Productivity Score,SOx Productivity,SOx Productivity Score,PM Productivity,PM Productivity Score,Cash Taxes Paid Ratio,Cash Taxes Paid Score,Sustainable Revenue Ratio,Sustainable Revenue Score,Sustainable Investment Ratio,Sustainable Investment Score,CEO-Average Worker Pay Ratio,CEO-Average Worker Pay Score,Retirement Contributions / FTE,Fair Value of Plan Assets / FTE,Fair Value / Projected Benefit Obligation,Pension Fund Quality,Injury Rate Ratio,Injury Rate Score,Fatalities Per Employee Ratio,Fatalities Per Employee Score,Employee Turnover Ratio,Employee Turnover Score,Non-male Boards Ratio,Non-male Boards Score,Non-male Executives Ratio,Non-male Executives Score,Racially Diverse Among Boards Ratio,Racially Diverse Among Boards Score,Racially Diverse Among Executives Ratio,Racially Diverse Among Executives Score,Paid Sick Leave Score,Sustainability Paylink,Sustainability Pay Link Ratio,Sustainability Pay Link Score,Supplier Score,Political Influence #1,Political Influence #2,Political Influence #3,Fines Deduction,Overall Score
31,Kering SA,"Retail, except grocery and auto",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",France,"Paris, France","$25,647,093,023.30","$92,266.70",83.00%,"$978,971",87.40%,,,,,,,,,,,,,26%,63%,39%,100%,25%,94.30%,132,36.90%,$393.80,"$1,728.10",33.50%,16.30%,,,,,25.20%,42.40%,57%,98.60%,33.30%,80.50%,14.30%,71.40%,0.00%,0.00%,1,1,23.40%,92.10%,,Yes,Yes,Yes,5.00%,B
32,Beijing Enterprises Water Group Ltd,Water and sewage treatment,Utilities,Water Utilities,Hong Kong,"Hong Kong, Hong Kong ","$4,752,837,879.30",$757.50,50.40%,"$4,526",53.10%,"$1,030.50",80.00%,,,,,,,,,,,8%,41%,74%,93%,100%,100.00%,8,91.70%,"$2,861.20",,,22.10%,,,,,,,7%,2.00%,11.10%,21.20%,0.00%,0.00%,0.00%,0.00%,0,0,,,,,,,,B
33,ASM International NV,Semiconductor and electronic components manufacturing,Information Technology,Semiconductors & Semiconductor Equipment,Netherlands,"Almere, Netherlands","$2,514,405,523.30","$52,046.60",92.80%,"$98,187",80.30%,"$16,105.30",78.40%,,,,,,,,,,,12%,42%,98%,67%,63%,71.10%,27,57.40%,,"$6,103.20",116.60%,8.90%,,,,,12.50%,54.20%,33%,57.30%,0.00%,0.00%,22.20%,83.20%,33.30%,94.20%,0,1,,,,,,,,B
34,StarHub Ltd,Telecom providers,Communication Services,Wireless Telecommunication Services,Singapore,"Singapore, Singapore","$2,500,122,399.00","$5,139.60",52.10%,"$41,945",50.80%,,,,,,,,,,,,,12%,68%,47%,85%,0%,82.50%,14,66.70%,"$18,767.40",,,73.70%,,,,,,,23%,23.10%,20.00%,47.60%,61.50%,99.20%,40.00%,96.30%,1,0,,,57.70%,Yes,No,Yes,1.00%,B
35,SunPower Corp,Semiconductor and electronic components manufacturing,Information Technology,Semiconductors & Semiconductor Equipment,USA,"Richmond California, USA","$1,323,493,000.00","$19,048.50",88.40%,,,"$38,420.90",91.80%,,,,,,,,,,,8%,24%,100%,100%,100%,100.00%,,,,,,,,,,,,0.00%,22%,22.10%,40.00%,88.70%,11.10%,66.20%,22.20%,84.80%,0,1,,,,,,,,B
36,Xerox Holdings Corp,Computers and peripherals manufacturing,Information Technology,"Technology Hardware, Storage & Peripherals",USA,"Norwalk, USA","$7,038,000,000.00","$3,248.40",12.80%,"$51,747",18.60%,"$7,354.20",23.20%,"$5,285,505.90",23.40%,"$1,011,206,896.60",47.50%,"$327,501,163.30",17.10%,"$39,100,000,000.00",68.30%,,,6%,7%,75%,100%,3%,57.10%,,,"$7,656.90","$421,387.70",98.80%,96.50%,1.9,25.00%,0,100.00%,22.00%,41.70%,25%,28.20%,58.30%,99.20%,37.50%,94.90%,16.70%,78.70%,1,1,,,55.00%,Yes,No,Yes,,B
37,Telus Corp,Telecom providers,Communication Services,Diversified Telecommunication Services,Canada,"Vancouver, Canada ","$13,872,990,353.70","$3,627.50",33.20%,"$54,239",63.50%,,,,,,,,,,,,,9%,53%,62%,94%,12%,87.50%,297,23.70%,"$1,420.20","$89,701.70",98.10%,24.40%,,,,,,,40%,74.20%,33.30%,80.50%,20.00%,80.80%,16.70%,78.50%,1,1,0.70%,23.60%,57.90%,Yes,No,No,,B
38,Unilever PLC,Personal products (retail chemical),Consumer Staples,Personal Products,United Kingdom,"London, United Kingdom","$76,226,744,186.00","$6,762.60",80.10%,"$107,250",83.90%,,,,,No VOC Emissions,75.00%,,,,,,,22%,72%,30%,88%,6%,77.80%,118,45.50%,"$1,865.40","$262,070.50",112.60%,67.20%,,,,,16.00%,40.00%,42%,77.50%,23.10%,54.30%,33.30%,93.20%,30.80%,91.70%,1,1,10.80%,65.90%,,Yes,Yes,No,,B
39,HP Inc,Computers and peripherals manufacturing,Information Technology,"Technology Hardware, Storage & Peripherals",USA,"Palo Alto, USA","$63,487,000,000.00","$40,727.70",61.90%,"$398,038",76.30%,"$13,635.50",34.30%,"$7,007,395.10",34.40%,,,,,,,,,15%,42%,61%,88%,29%,85.70%,516,15.40%,"$2,190.30","$118,509.80",53.40%,45.40%,0.3,62.50%,0,100.00%,9.00%,91.70%,46%,88.70%,33.30%,80.20%,46.20%,97.90%,58.30%,98.50%,0,1,4.40%,40.50%,38.70%,Yes,Yes,Yes,2.50%,B
40,VMware Inc,Personal and business services,Information Technology,Software,USA,"Palo Alto, USA","$12,851,000,000.00","$67,317.60",61.40%,"$184,723",41.00%,,,,,,,,,,,,,14%,39%,75%,100%,0%,82.60%,,,"$6,053.30",,,69.00%,0,100.00%,,,,,30%,40.60%,33.30%,80.20%,30.00%,90.60%,33.30%,94.20%,1,0,,,,Yes,No,Yes,,B
41,SAP SE,IT services except telecom and hosting,Information Technology,Software,Germany,"Walldorf, Germany","$40,468,023,255.80","$28,279.80",42.20%,"$194,558",32.80%,,,,,,,,,,,,,28%,85%,25%,94%,0%,91.60%,41,71.40%,"$5,520.90","$26,142.90",93.00%,66.40%,,,,,,,50%,95.70%,28.60%,68.80%,16.70%,75.50%,0.00%,0.00%,1,1,0.00%,0.00%,24.10%,Yes,,,,B
42,BCE Inc,Telecom providers,Communication Services,Diversified Telecommunication Services,Canada,"Verdun, Canada ","$18,849,678,456.60","$3,824.70",38.40%,"$68,365",74.20%,,,,,,,,,,,,,8%,44%,48%,89%,96%,98.20%,125,28.90%,"$1,824.70","$458,455.00",109.20%,39.40%,,,,,,,38%,69.70%,33.30%,80.50%,15.40%,72.60%,0.00%,0.00%,1,1,,,,Yes,Yes,Yes,,B
43,Coloplast A/S,Medical equipment manufacturing,Health Care,Health Care Equipment & Supplies,Denmark,"Humlebaek, Denmark ","$2,910,262,172.30","$14,607.40",76.80%,"$55,646",41.50%,,,,,,,,,,,,,17%,69%,46%,100%,3%,100.00%,49,73.30%,"$4,237.30","$4,672.80",66.90%,66.50%,2.2,20.00%,,,13.00%,66.70%,33%,56.50%,16.70%,36.60%,0.00%,0.00%,0.00%,0.00%,1,1,,,,Yes,Yes,No,,B
44,Koninklijke KPN NV,Telecom providers,Communication Services,Diversified Telecommunication Services,Netherlands,"Rotterdam, Netherlands","$8,898,255,814.00","$4,173.70",51.80%,"$38,857",40.60%,,,,,,,,,,,,,4%,22%,55%,89%,100%,100.00%,35,42.20%,"$5,370.20","$68,116.80",74.00%,57.90%,,,,,,,43%,80.30%,33.30%,80.20%,0.00%,0.00%,16.70%,78.70%,1,1,0.00%,0.00%,,Yes,Yes,Yes,2.50%,B
45,Cogeco Communications Inc,Telecom providers,Communication Services,Media,Canada,"Montreal, Canada","$2,018,049,035.40","$3,461.00",29.50%,"$95,151",87.10%,,,,,,,,,,,,,6%,35%,47%,85%,39%,91.10%,35,52.60%,"$2,728.00","$13,729.60",100.70%,31.70%,,,,,,,56%,98.20%,22.20%,52.60%,11.10%,66.20%,11.10%,68.90%,1,1,14.50%,70.90%,60.80%,Yes,No,No,,B
46,First Solar Inc,Semiconductor and electronic components manufacturing,Information Technology,Semiconductors & Semiconductor Equipment,USA,"Tempe, USA","$2,923,377,000.00",$826.20,15.20%,"$5,218",12.10%,$861.80,32.40%,,,,,,,,,,,11%,40%,100%,100%,100%,100.00%,,,,,,,,,,,24.00%,18.80%,33%,57.30%,11.10%,20.60%,8.30%,56.20%,11.10%,69.00%,0,0,,,,Yes,,,,B-
